slug,title,notes
lon-efter-skat,Løn efter skat,
skat-beregner,Skat beregner,
bmi,BMI beregner,
promille,Promille beregner,
feriepenge,Feriepenge beregner,
dagpenge,Dagpenge beregner,
boliglan,Boliglån beregner,
budget,Budget beregner,
varmeforbrug,Varmeforbrug beregner,
strømforbrug,Strømforbrug beregner,
bransikring,Børneopsparing beregner,
opsparing,Opsparing beregner,
rente,Rente beregner,
sygedagpenge,Sygedagpenge beregner,
moms,Moms beregner,
leasing,Leasing beregner,
kilometersats,Kørselsfradrag/kilometersats beregner,
fradrag,Fradrag beregner,
protein,Protein beregner,
kalorier,Kalorie beregner,
